Rank,Released,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office
77,2016,Suicide Squad,"$746,100,054","$325,100,054","$421,000,000"
78,2013,Monsters University,"$743,588,329","$268,488,329","$475,100,000"
79,2003,The Matrix Reloaded,"$738,576,929","$281,553,689","$457,023,240"
80,2009,Up,"$731,542,621","$293,004,164","$438,538,457"
81,2005,"The Chronicles of Narnia: The Lion, the Witch a","$720,539,572","$291,710,957","$428,828,615"
82,2013,Gravity,"$716,392,705","$274,092,705","$442,300,000"
83,2014,Captain America: The Winter Soldier,"$714,401,889","$259,746,958","$454,654,931"
84,2014,The Amazing Spider-Man 2,"$708,996,336","$202,853,933","$506,142,403"
85,2007,Transformers,"$708,272,592","$319,246,193","$389,026,399"
86,2010,The Twilight Saga: Eclipse,"$706,102,828","$300,531,751","$405,571,077"
87,2014,Dawn of the Planet of the Apes,"$703,545,589","$208,545,589","$495,000,000"
88,2015,Mission: Impossible - Rogue Nation,"$700,868,363","$195,042,377","$505,825,986"
89,2011,Mission: ImpossibleGhost Protocol,"$694,713,230","$209,397,903","$485,315,327"
90,2011,"The Twilight Saga: Breaking Dawn, Part 1","$689,420,051","$281,287,133","$408,132,918"
91,2009,The Twilight Saga: New Moon,"$687,557,727","$296,623,634","$390,934,093"
92,1994,Forrest Gump,"$679,850,637","$330,151,138","$349,699,499"
93,2012,The Hunger Games,"$677,923,379","$408,010,692","$269,912,687"
94,2016,Doctor Strange,"$676,251,918","$232,551,918","$443,700,000"
95,1999,The Sixth Sense,"$672,806,292","$293,506,292","$379,300,000"
96,2013,Man of Steel,"$667,999,518","$291,045,518","$376,954,000"
97,2014,Interstellar,"$665,417,894","$188,017,894","$477,400,000"
98,2011,Kung Fu Panda 2,"$664,837,547","$165,249,063","$499,588,484"
99,2002,Star Wars Ep. II: Attack of the Clones,"$656,695,615","$310,676,740","$346,018,875"
100,2012,Men in Black 3,"$654,213,485","$179,020,854","$475,192,631"
